ETag,Bucket,Key
4a28907372901b47d8bf8d2b4dbdfb01,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/13/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221013T161955Z.json.gz
25c3f205d0b04f32415af9ff18dc5ee4,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/13/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221013T171955Z.json.gz
099a96e4e552828269ec674b1698fe5b,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/13/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221013T181955Z.json.gz
54494c8d70ce1cceb06832483bbf01d2,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/13/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221013T191955Z.json.gz
acbf73606180780aac474401eb86f6af,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/13/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221013T201955Z.json.gz
81d52b4e7a911745b931412b9f491e0e,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/13/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221013T211955Z.json.gz
53f8e0b922ca87b4e318eb12f6cb98e2,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/13/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221013T221955Z.json.gz
f65042a5320d85f470fb45cf5be7c157,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/13/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221013T231955Z.json.gz
9e29c49bcb976314af2712a0f9fede83,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T001955Z.json.gz
012a82321ac536d28e6025c10a1b0420,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T011955Z.json.gz
3d537a68ad27539284802411cd2faec4,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T021955Z.json.gz
934eff9a84ef54fa155b5c877904a30c,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T031955Z.json.gz
e88b13c2abd12c2197ad98e15ac0bb0b,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T041955Z.json.gz
97f8e229f19f969af01f991a82deb0a9,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T051955Z.json.gz
c0fc4b23b23465971d38fe0e6fbd73d2,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T061955Z.json.gz
bd5bc77abfba11d2b3ff17bc9d86807c,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T071955Z.json.gz
b8989e436bfe0ae8cd2bfb7a83f9830b,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T081955Z.json.gz
b234733e0d8c6c0454bc0ba4158f653c,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T091955Z.json.gz
751c080fe01be816bbb834002041acf0,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T101955Z.json.gz
fa07dac7da1c0b279f98702e048e4407,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T111955Z.json.gz
82bf0d4c0799a0a26c2ff760f769486d,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T121955Z.json.gz
2e4f2affc9501c58f9bc77bc5e9a102c,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T131955Z.json.gz
c300756a730c50ed183d07ee38b9c3b6,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T141955Z.json.gz
273428dcab2706af51586d220d88288c,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T151955Z.json.gz
0eecf33fa75ba7b298a4cce0dc275c28,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T161955Z.json.gz
45e4ba1e59de212256c9c756f0a6bed0,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T171955Z.json.gz
a37cf1a023e15e34a18300a779e2eee5,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T181955Z.json.gz
4f395decbc655f2de0bda9159ba6b85f,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T191955Z.json.gz
3f8ec7cab3d7131a45c755b19bfb8b4a,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T201955Z.json.gz
1591488278495e49f35d38cf75a26bd4,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T211955Z.json.gz
0d0a21d9896289aab3276f4f9bf0ed46,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T221955Z.json.gz
ebede07fa0d377aa14658d4c14d680d9,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/14/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221014T231955Z.json.gz
b105966bcd683096670e0218d5b30083,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T001955Z.json.gz
f4dd49abc551b231cbf246ef7a6099bc,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T011955Z.json.gz
0adc02982182769b82978c5a8dd14396,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T021955Z.json.gz
7a644d64cdf0d4e10490c0e44d2339ef,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T031955Z.json.gz
5b234b15537d4b07b1e2f117aaf228b5,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T041955Z.json.gz
b474165555b5d1dd1d6d7603037e547c,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T051955Z.json.gz
5614099533ab15fc593c5e3a3850b50d,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T061955Z.json.gz
0cce60b4fc472756dd936a90cf0fb21b,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T071955Z.json.gz
f6ff73e3637919ee6e8d1e3aeda2d5d7,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T081955Z.json.gz
fbe8b7c8a5f6e94057006ec9f7a86f22,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T091955Z.json.gz
e1cf0d11763e3cc19be43b839ccd4bef,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T101955Z.json.gz
f007ae50e7df0d147ed0ead206d723d0,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T111955Z.json.gz
0bb0a48141b9a9660bce1228ddd81833,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T121955Z.json.gz
17706b2998d0d8c075f78009f8357e64,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T131955Z.json.gz
29182b3ed5ecd40a96e5717c1bdaf716,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T141955Z.json.gz
d87c41b95428dfbb05fd76dabc98e16c,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T151955Z.json.gz
b4a0551f5fd685cf2bdc131861009e16,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T161955Z.json.gz
d985bedf243c4624f71a67bfcf8bbab4,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T171955Z.json.gz
e7261fd30f3b6c295f7470ad277794bd,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T181955Z.json.gz
aac0637a90fbb055fa4e89e8bf311a03,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T191955Z.json.gz
f60fffa155278e2113206529d6e66713,aws-cloudtrail-logs-296712556520-0c3b9404,AWSLogs/296712556520/CloudTrail-Digest/af-south-1/2022/10/15/296712556520_CloudTrail-Digest_af-south-1_management-events_us-east-1_20221015T201955Z.json.gz
